updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-12-31 10:04:58.447000,ia-2002-01-22-special-general,2002-01-22 00:00:00,2002-01-22 00:00:00,general,certified,True,Iowa House,28,Totals,,,,,,,Fayette,ocd-division/country:us/state:ia/county:fayette,3436,,,,,2002
2015-12-31 10:04:58.447000,ia-2002-01-22-special-general,2002-01-22 00:00:00,2002-01-22 00:00:00,general,certified,True,Iowa House,28,Totals,,,,,,,Buchanan,ocd-division/country:us/state:ia/county:buchanan,2195,,,,,2002
2015-12-31 10:04:58.447000,ia-2002-01-22-special-general,2002-01-22 00:00:00,2002-01-22 00:00:00,general,certified,True,Iowa House,28,Scattering,,,,,,,Fayette,ocd-division/country:us/state:ia/county:fayette,1,,,,,2002
2015-12-31 10:04:58.447000,ia-2002-01-22-special-general,2002-01-22 00:00:00,2002-01-22 00:00:00,general,certified,True,Iowa House,28,Scattering,,,,,,,Buchanan,ocd-division/country:us/state:ia/county:buchanan,2,,,,,2002
2015-12-31 10:04:58.447000,ia-2002-01-22-special-general,2002-01-22 00:00:00,2002-01-22 00:00:00,general,certified,True,Iowa House,28,David Lalk,,,,,Republican,,Fayette,ocd-division/country:us/state:ia/county:fayette,1691,,,,,2002
2015-12-31 10:04:58.447000,ia-2002-01-22-special-general,2002-01-22 00:00:00,2002-01-22 00:00:00,general,certified,True,Iowa House,28,David Lalk,,,,,Republican,,Buchanan,ocd-division/country:us/state:ia/county:buchanan,1030,,,,,2002
2015-12-31 10:04:58.447000,ia-2002-01-22-special-general,2002-01-22 00:00:00,2002-01-22 00:00:00,general,certified,True,Iowa House,28,Jackie Reeder,,,,,Democratic,,Fayette,ocd-division/country:us/state:ia/county:fayette,1744,,,,,2002
2015-12-31 10:04:58.447000,ia-2002-01-22-special-general,2002-01-22 00:00:00,2002-01-22 00:00:00,general,certified,True,Iowa House,28,Jackie Reeder,,,,,Democratic,,Buchanan,ocd-division/country:us/state:ia/county:buchanan,1163,,,,,2002
