updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-12-31 10:19:07.771000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Representative,85,Write-In,,,,,,,Pottawattamie,ocd-division/country:us/state:ia/county:pottawattamie,0,,,,True,2001
2015-12-31 10:19:07.771000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Representative,85,Write-In,,,,,,,Mills,ocd-division/country:us/state:ia/county:mills,5,,,,True,2001
2015-12-31 10:19:07.771000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Representative,85,Write-In,,,,,,,Fremont,ocd-division/country:us/state:ia/county:fremont,0,,,,True,2001
2015-12-31 10:19:07.771000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Representative,85,Chuck Larson,,,,,Democratic,,Pottawattamie,ocd-division/country:us/state:ia/county:pottawattamie,143,,,,,2001
2015-12-31 10:19:07.771000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Representative,85,Chuck Larson,,,,,Democratic,,Mills,ocd-division/country:us/state:ia/county:mills,528,,,,,2001
2015-12-31 10:19:07.771000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Representative,85,Chuck Larson,,,,,Democratic,,Fremont,ocd-division/country:us/state:ia/county:fremont,594,,,,,2001
2015-12-31 10:19:07.771000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Representative,85,Gerald D. Jones,,,,,Republican,,Pottawattamie,ocd-division/country:us/state:ia/county:pottawattamie,546,,,,,2001
2015-12-31 10:19:07.771000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Representative,85,Gerald D. Jones,,,,,Republican,,Mills,ocd-division/country:us/state:ia/county:mills,876,,,,,2001
2015-12-31 10:19:07.771000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Representative,85,Gerald D. Jones,,,,,Republican,,Fremont,ocd-division/country:us/state:ia/county:fremont,438,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Write-In,,,,,,,Pottawattamie,ocd-division/country:us/state:ia/county:pottawattamie,0,,,,True,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Write-In,,,,,,,Montgomery,ocd-division/country:us/state:ia/county:montgomery,4,,,,True,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Write-In,,,,,,,Mills,ocd-division/country:us/state:ia/county:mills,1,,,,True,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Write-In,,,,,,,Fremont,ocd-division/country:us/state:ia/county:fremont,0,,,,True,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Write-In,,,,,,,Cass,ocd-division/country:us/state:ia/county:cass,0,,,,True,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,John J. O'Brien,,,,,Democratic,,Pottawattamie,ocd-division/country:us/state:ia/county:pottawattamie,109,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,John J. O'Brien,,,,,Democratic,,Montgomery,ocd-division/country:us/state:ia/county:montgomery,164,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,John J. O'Brien,,,,,Democratic,,Mills,ocd-division/country:us/state:ia/county:mills,347,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,John J. O'Brien,,,,,Democratic,,Fremont,ocd-division/country:us/state:ia/county:fremont,333,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,John J. O'Brien,,,,,Democratic,,Cass,ocd-division/country:us/state:ia/county:cass,677,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Hubert Houser,,,,,Republican,,Pottawattamie,ocd-division/country:us/state:ia/county:pottawattamie,659,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Hubert Houser,,,,,Republican,,Montgomery,ocd-division/country:us/state:ia/county:montgomery,665,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Hubert Houser,,,,,Republican,,Mills,ocd-division/country:us/state:ia/county:mills,1064,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Hubert Houser,,,,,Republican,,Fremont,ocd-division/country:us/state:ia/county:fremont,673,,,,,2001
2015-12-31 10:19:06.585000,ia-2001-06-12-special-general,2001-06-12 00:00:00,2001-06-12 00:00:00,general,certified,True,State Senate,43,Hubert Houser,,,,,Republican,,Cass,ocd-division/country:us/state:ia/county:cass,1083,,,,,2001
