updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Total,,,,,,,Trinity Lutheran Church,ocd-division/country:us/state:ia/county:union/precinct:trinity_lutheran_church,73,,,,,2011
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Scattering,,,,,,,Trinity Lutheran Church,ocd-division/country:us/state:ia/county:union/precinct:trinity_lutheran_church,0,,,,,2011
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Undervote,,,,,,,Trinity Lutheran Church,ocd-division/country:us/state:ia/county:union/precinct:trinity_lutheran_church,0,,,,,2011
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Overvote,,,,,,,Trinity Lutheran Church,ocd-division/country:us/state:ia/county:union/precinct:trinity_lutheran_church,0,,,,,2011
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Joni .K. Ernst,,,,,,,Trinity Lutheran Church,ocd-division/country:us/state:ia/county:union/precinct:trinity_lutheran_church,35,,,,,2011
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Ruth Smith,,,,,,,Trinity Lutheran Church,ocd-division/country:us/state:ia/county:union/precinct:trinity_lutheran_church,38,,,,,2011
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Total,,,,,,,SWCC Student Center,ocd-division/country:us/state:ia/county:union/precinct:swcc_student_center,164,,,,,2011
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Scattering,,,,,,,SWCC Student Center,ocd-division/country:us/state:ia/county:union/precinct:swcc_student_center,0,,,,,2011
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Undervote,,,,,,,SWCC Student Center,ocd-division/country:us/state:ia/county:union/precinct:swcc_student_center,0,,,,,2011
2015-12-28 20:27:06.608000,ia-2011-01-04-special-general,2011-01-04 00:00:00,2011-01-04 00:00:00,general,certified,True,State Senate,48,Overvote,,,,,,,SWCC Student Center,ocd-division/country:us/state:ia/county:union/precinct:swcc_student_center,0,,,,,2011
